[2025-02-13 21:12:29,185] 14 root - INFO - Data ingestion started
[2025-02-13 21:12:30,691] 66 root - INFO - Performed data split into training and testing sets.
[2025-02-13 21:12:30,691] 72 root - INFO - Exporting training data and test data
[2025-02-13 21:12:30,816] 77 root - INFO - Exported training data and test data
[2025-02-13 21:12:30,816] 16 root - INFO - Data ingestion completed
[2025-02-13 21:12:30,839] 20 root - INFO - Data validation started
[2025-02-13 21:12:30,929] 32 root - INFO - Required number of columns: 21
[2025-02-13 21:12:30,929] 33 root - INFO - Actual number of columns: 22
[2025-02-13 21:12:30,941] 32 root - INFO - Required number of columns: 21
[2025-02-13 21:12:30,941] 33 root - INFO - Actual number of columns: 22
[2025-02-13 21:12:30,943] 44 root - INFO - Required number of numerical columns: 3
[2025-02-13 21:12:30,943] 45 root - INFO - Actual number of numerical columns: 3
[2025-02-13 21:12:30,943] 44 root - INFO - Required number of numerical columns: 3
[2025-02-13 21:12:30,943] 45 root - INFO - Actual number of numerical columns: 3
[2025-02-13 21:12:31,677] 22 root - INFO - Data validation completed
[2025-02-13 21:12:31,677] 24 root - INFO - Data transformation started
[2025-02-13 21:12:31,677] 60 root - INFO - Initiating data transformation...
[2025-02-13 21:12:31,677] 62 root - INFO - Starting data transformation
[2025-02-13 21:12:31,920] 87 root - INFO - Data transformation completed
[2025-02-13 21:12:31,939] 38 root - INFO - Saving object to Artifacts\02_13_2025_21_12_26\data_transformation\transformed_object\preprocessing.pkl
[2025-02-13 21:12:31,947] 29 root - INFO - Data transformation completed
